#Fields:
#1:ID
#2:m_obs up.res
#3:err_m_obs up.res
#4:m_obs g.res
#5:err_m_obs g.res
#6:m_obs r.res
#7:err_m_obs r.res
#8:m_obs i.res
#9:err_m_obs i.res
#10:m_obs z.res
#11:err_m_obs z.res
#12:m_obs y.res
#13:err_m_obs y.res
#14:m_obs 4400.res
#15:err_m_obs 4400.res
#16:m_obs 4500.res
#17:err_m_obs 4500.res
#18:m_obs 4600.res
#19:err_m_obs 4600.res
#20:m_obs 4700.res
#21:err_m_obs 4700.res
#22:m_obs 4800.res
#23:err_m_obs 4800.res
#24:m_obs 4900.res
#25:err_m_obs 4900.res
#26:m_obs 5000.res
#27:err_m_obs 5000.res
#28:m_obs 5100.res
#29:err_m_obs 5100.res
#30:m_obs 5200.res
#31:err_m_obs 5200.res
#32:m_obs 5300.res
#33:err_m_obs 5300.res
#34:m_obs 5400.res
#35:err_m_obs 5400.res
#36:m_obs 5500.res
#37:err_m_obs 5500.res
#38:m_obs 5600.res
#39:err_m_obs 5600.res
#40:m_obs 5700.res
#41:err_m_obs 5700.res
#42:m_obs 5800.res
#43:err_m_obs 5800.res
#44:m_obs 5900.res
#45:err_m_obs 5900.res
#46:m_obs 6000.res
#47:err_m_obs 6000.res
#48:m_obs 6100.res
#49:err_m_obs 6100.res
#50:m_obs 6200.res
#51:err_m_obs 6200.res
#52:m_obs 6300.res
#53:err_m_obs 6300.res
#54:m_obs 6400.res
#55:err_m_obs 6400.res
#56:m_obs 6500.res
#57:err_m_obs 6500.res
#58:m_obs 6600.res
#59:err_m_obs 6600.res
#60:m_obs 6700.res
#61:err_m_obs 6700.res
#62:m_obs 6800.res
#63:err_m_obs 6800.res
#64:m_obs 6900.res
#65:err_m_obs 6900.res
#66:m_obs 7000.res
#67:err_m_obs 7000.res
#68:m_obs 7100.res
#69:err_m_obs 7100.res
#70:m_obs 7200.res
#71:err_m_obs 7200.res
#72:m_obs 7300.res
#73:err_m_obs 7300.res
#74:m_obs 7400.res
#75:err_m_obs 7400.res
#76:m_obs 7500.res
#77:err_m_obs 7500.res
#78:m_obs 7600.res
#79:err_m_obs 7600.res
#80:m_obs 7700.res
#81:err_m_obs 7700.res
#82:m_obs 7800.res
#83:err_m_obs 7800.res
#84:m_obs 7900.res
#85:err_m_obs 7900.res
#86:m_obs 8000.res
#87:err_m_obs 8000.res
#88:m_obs 8100.res
#89:err_m_obs 8100.res
#90:m_obs 8200.res
#91:err_m_obs 8200.res
#92:m_obs 8300.res
#93:err_m_obs 8300.res
#94:m_obs 8400.res
#95:err_m_obs 8400.res
#96:m_obs 8500.res
#97:err_m_obs 8500.res
#98:z_true
#99:m_obs prior
#100:template
#101:E(B-V)
#102:Mr
10  32.4473 2.9038 27.6486 1.3912 24.8013 0.4890 23.9517 0.2387 23.0223 0.2092 22.7212 0.3370 26.6159 2.6082 28.7725 2.5992 26.5157 2.5738 26.0429 2.5247 23.7288 2.4533 26.1344 2.3618 25.8275 2.2271 26.5993 2.0804 27.0270 1.9434 27.6641 1.8030 26.0119 1.6665 24.0961 1.7910 26.7658 1.4765 25.8329 1.3559 25.3126 1.4102 25.6466 1.3320 25.5509 1.0888 26.1757 0.9843 24.2039 1.3049 24.7125 1.3336 25.8768 0.8870 25.5148 0.8151 23.3330 0.7806 24.1177 0.7651 25.6397 0.8060 25.3577 0.7407 24.0549 0.6592 25.1353 0.6556 24.4606 0.6649 25.0229 0.7308 25.6954 0.6677 24.2868 0.6490 23.4972 0.5473 23.2877 0.4645 23.5209 0.4902 23.8398 0.4220 23.6141 0.4155 23.6322 0.4058 23.4262 0.4490 24.2553 0.4064 23.3935 0.3532 23.4738 0.3389 0.9204 2.03
11  30.5009 1.7092 24.7963 0.4179 23.7495 0.1446 22.8808 0.1076 22.4648 0.1511 22.6692 0.2548 25.3501 1.1839 24.1499 1.1203 26.0253 1.0138 26.3070 0.9293 24.6840 0.8788 25.8724 0.8281 26.5779 0.7759 23.9246 0.7279 24.6213 0.6984 24.1156 0.6539 24.9263 0.5832 24.9585 0.7086 23.9178 0.5867 24.8220 0.5286 23.7953 0.5101 23.6758 0.4268 23.8516 0.3700 23.7060 0.3588 24.0928 0.5192 24.1805 0.5384 23.5373 0.3041 23.6962 0.2626 23.3783 0.2464 22.8814 0.2407 23.8238 0.2517 23.1323 0.2403 23.2045 0.2263 23.2020 0.2308 22.8405 0.2195 23.4464 0.2315 22.9519 0.2221 22.9084 0.2457 23.0906 0.2638 23.1204 0.2477 23.1496 0.2631 23.0009 0.2143 22.8006 0.2156 22.5881 0.2137 22.5761 0.2443 23.3458 0.2364 22.6308 0.2179 22.8297 0.2254 0.4753 8.66
12  27.8041 2.1994 27.1025 0.7820 24.2209 0.3114 23.3566 0.2179 23.5742 0.3038 23.5594 0.4962 24.8830 1.7977 24.8866 1.7197 28.5434 1.6450 26.1225 1.5856 26.5484 1.5027 24.1448 1.3976 25.5045 1.3265 26.5936 1.2711 26.7352 1.2076 26.7896 1.1280 25.4015 1.0593 22.5793 1.2322 25.2737 1.0232 24.4335 0.9083 26.3497 0.9594 26.3128 0.9386 25.3767 0.8052 26.4697 0.7426 24.8842 0.9185 24.5431 0.9318 23.7765 0.5923 24.8256 0.5378 24.3659 0.5321 24.9526 0.5218 25.2572 0.5204 23.9512 0.4781 24.0265 0.4494 23.6557 0.4472 24.0325 0.4238 22.3964 0.4382 24.3501 0.4099 22.6088 0.4488 24.2446 0.4765 23.5518 0.4658 23.2537 0.5123 23.5398 0.4391 24.5060 0.4466 23.7462 0.4378 23.2554 0.4908 24.0935 0.4628 23.9480 0.4262 23.1380 0.4330 0.5554 11.55
13  27.4621 1.4610 24.7033 0.5382 23.9667 0.2313 23.1245 0.1186 22.7093 0.1528 22.4917 0.2518 25.0297 1.2775 25.2943 1.2378 24.8786 1.1975 23.8506 1.1540 25.0759 1.1110 23.9381 1.0691 26.7703 1.0247 25.3672 0.9854 24.7422 0.9400 23.8969 0.8875 25.6725 0.8510 25.4546 0.9789 24.7163 0.7708 24.2118 0.7063 24.5286 0.7369 24.0395 0.6964 24.8341 0.5948 24.0311 0.5573 23.3066 0.7637 23.8202 0.7883 24.3126 0.4821 23.5715 0.4108 24.1107 0.3863 23.9457 0.3936 24.4322 0.4006 23.7314 0.3699 23.4570 0.3311 23.4677 0.2910 23.0730 0.2652 23.4547 0.2809 22.9860 0.2575 23.0519 0.2764 23.2052 0.2947 23.3099 0.2779 22.4369 0.2870 22.6081 0.2272 22.7507 0.2216 23.1387 0.2195 22.7544 0.2506 22.7796 0.2418 22.5851 0.2174 22.5071 0.2221 0.7801 11.76
14  24.7699 1.3549 24.4778 0.2625 23.6143 0.1284 22.9538 0.1139 22.9427 0.1675 22.3405 0.2840 24.9020 0.8235 24.1649 0.7539 25.6694 0.7229 24.0688 0.6601 23.9502 0.6004 24.0065 0.5771 24.0759 0.5324 24.2862 0.4783 24.3954 0.4195 23.9171 0.4043 24.1145 0.3821 24.4030 0.4774 24.2070 0.3754 23.9436 0.3340 23.5590 0.3490 23.9305 0.3369 23.2271 0.2944 23.7082 0.2842 23.7137 0.4281 23.2196 0.4546 23.3257 0.2677 23.5006 0.2518 23.4593 0.2534 23.2724 0.2540 22.9908 0.2646 23.2677 0.2482 23.2064 0.2366 23.0807 0.2372 23.0464 0.2235 23.2793 0.2367 23.2618 0.2252 23.5499 0.2479 23.2732 0.2649 22.8006 0.2557 22.7473 0.2768 22.6298 0.2309 23.2488 0.2336 22.8263 0.2366 22.6171 0.2726 22.9615 0.2621 22.9266 0.2393 23.2960 0.2441 0.2958 14.25
15  25.8895 0.6966 23.2226 0.0971 21.6941 0.0358 21.2055 0.0305 20.7772 0.0367 20.5975 0.0564 23.1612 0.3554 23.7898 0.3005 23.2087 0.2702 23.3956 0.2524 23.4572 0.2349 23.0029 0.2157 23.2047 0.1997 22.8279 0.1936 23.0437 0.1718 22.7600 0.1548 22.8486 0.1578 22.6480 0.1935 22.3603 0.1380 22.3391 0.1051 22.1238 0.1047 22.0126 0.1031 22.0109 0.0878 21.8993 0.0844 21.9454 0.1197 21.5137 0.1168 21.6472 0.0651 21.5156 0.0585 21.5581 0.0569 21.5020 0.0564 21.3188 0.0575 21.3038 0.0562 21.2911 0.0546 21.2694 0.0554 21.3676 0.0534 21.3875 0.0565 21.2389 0.0541 21.2138 0.0558 21.1020 0.0571 21.1883 0.0549 21.0941 0.0591 21.1124 0.0497 21.0452 0.0495 20.9928 0.0498 21.1069 0.0563 20.9695 0.0551 20.9446 0.0516 20.9008 0.0515 0.4360 6.27
16  23.5577 0.4400 23.5262 0.1092 21.9906 0.0438 21.2497 0.0319 20.8948 0.0396 20.8532 0.0621 23.3796 0.3425 23.7037 0.3258 23.6542 0.3100 23.3389 0.2938 23.7774 0.2775 23.7406 0.2611 23.6137 0.2474 23.2351 0.2338 23.3527 0.2144 23.1495 0.1950 23.1116 0.1811 22.8556 0.2167 22.8311 0.1630 22.5220 0.1457 22.5493 0.1501 22.2937 0.1459 22.3610 0.1223 22.2977 0.1078 22.1733 0.1609 22.4490 0.1662 22.2537 0.0910 21.8310 0.0806 21.7725 0.0704 21.6733 0.0672 21.6784 0.0712 21.5867 0.0669 21.6278 0.0643 21.5029 0.0654 21.5691 0.0599 21.2817 0.0593 21.2981 0.0543 21.2649 0.0577 21.1952 0.0606 21.1369 0.0588 21.1326 0.0628 21.1956 0.0530 21.0534 0.0538 21.1097 0.0543 21.0828 0.0611 21.0095 0.0598 21.0415 0.0562 21.0125 0.0582 0.6597 14.74
17  26.3118 1.9586 25.6664 0.7831 24.7469 0.3115 23.3857 0.1446 23.1075 0.1598 21.9573 0.2626 27.3730 1.7623 22.2437 1.7182 26.7933 1.6673 27.7872 1.6104 24.8548 1.5329 24.6174 1.4528 24.1582 1.3792 25.6220 1.3124 26.9033 1.2325 24.1331 1.1450 24.6533 1.0724 25.1629 1.2316 26.3530 1.0200 25.5533 0.9047 25.4317 0.8935 24.1623 0.8506 25.5148 0.7441 24.0568 0.7126 22.5349 0.9673 24.9337 0.9722 23.9811 0.6025 24.4682 0.5615 23.6092 0.5274 24.4959 0.4857 23.4375 0.5036 24.5076 0.5109 23.5523 0.4900 24.3394 0.4660 24.1510 0.3929 23.2349 0.3434 23.7104 0.3028 23.4564 0.3332 23.4488 0.3484 23.3512 0.3318 22.7755 0.3570 22.9985 0.2845 22.9379 0.2693 22.9134 0.2543 23.6270 0.2791 22.8266 0.2623 22.8363 0.2362 22.9113 0.2410 0.8322 5.86
18  27.9813 1.4524 25.0457 0.3203 23.3005 0.1070 22.5702 0.0778 22.2582 0.1078 21.9564 0.1831 25.4589 0.9640 24.6945 0.9124 25.8459 0.8326 24.6427 0.7429 24.9406 0.6955 25.2498 0.6543 24.8646 0.6137 24.7114 0.5743 24.6565 0.5398 24.3081 0.5153 23.8005 0.4613 24.5336 0.5403 23.4876 0.4526 24.2460 0.4151 23.8710 0.4164 23.4541 0.3400 23.2918 0.2725 23.2252 0.2689 22.9569 0.3933 23.0001 0.4090 23.2714 0.2310 23.0177 0.1990 22.7804 0.1837 22.8183 0.1772 22.5449 0.1835 22.3747 0.1763 22.4136 0.1656 22.6380 0.1655 22.6309 0.1587 22.6670 0.1665 22.7747 0.1589 23.0205 0.1758 22.6789 0.1921 22.6184 0.1841 22.5273 0.1931 22.2506 0.1557 22.5170 0.1551 22.4307 0.1553 22.3380 0.1767 22.1581 0.1700 22.0692 0.1561 22.3688 0.1608 0.4874 8.09
19  22.0301 0.0759 20.4781 0.0232 19.1512 0.0219 18.7390 0.0218 18.4173 0.0219 18.2787 0.0226 20.9290 0.0397 20.8004 0.0370 20.7442 0.0358 20.6109 0.0336 20.4618 0.0317 20.4636 0.0315 20.3559 0.0302 20.1648 0.0284 19.8680 0.0266 19.8539 0.0262 19.7746 0.0259 19.7531 0.0270 19.6907 0.0254 19.5114 0.0248 19.3926 0.0247 19.3240 0.0244 19.2468 0.0240 19.1940 0.0238 19.1994 0.0251 19.1863 0.0255 19.1519 0.0236 19.1215 0.0234 19.1291 0.0234 19.0843 0.0234 19.0156 0.0234 18.9901 0.0232 18.9493 0.0231 18.9124 0.0231 18.8526 0.0229 18.8374 0.0229 18.8044 0.0228 18.8302 0.0230 18.7729 0.0232 18.7610 0.0230 18.7005 0.0231 18.6675 0.0227 18.6779 0.0227 18.6582 0.0228 18.6523 0.0230 18.6456 0.0229 18.5780 0.0227 18.5383 0.0227 0.2995 9.36
